4.9936,2.87878,4.51927,1.099746,7.6947,2.76105,2.68318,2.36106,1.838562,1.7808,2.66464,2.3128,2.68002,1.337135,4.4175,1.74734,
4.96256,2.85311,4.48178,1.095876,7.6281,2.7366,2.66639,2.34486,1.833788,1.7691,2.65056,2.29328,2.66343,1.329859,4.3932,1.7339,
4.93184,2.82778,4.44475,1.092006,7.5618,2.7123,2.65006,2.32848,1.829058,1.7574,2.63648,2.2736,2.64684,1.322617,4.3695,1.7206,
4.90112,2.80245,4.40795,1.088172,7.4961,2.68815,2.6335,2.31228,1.82435,1.7457,2.62262,2.25424,2.63067,1.315426,4.3455,1.70744,
4.87072,2.77746,4.37138,1.084356,7.431,2.6643,2.61717,2.29626,1.819686,1.73415,2.60898,2.23504,2.6145,1.308286,4.3221,1.69442,
4.84064,2.75247,4.33504,1.080558,7.3662,2.64045,2.60107,2.28042,1.815044,1.72275,2.59512,2.21584,2.59833,1.301197,4.2987,1.6814,
4.81056,2.72782,4.29916,1.076778,7.3017,2.6169,2.58497,2.2644,1.810446,1.71135,2.5817,2.19696,2.58237,1.294159,4.2753,1.66852,
4.7808,2.70317,4.26328,1.073016,7.2378,2.5935,2.5691,2.24874,1.80587,1.69995,2.56828,2.17808,2.56662,1.287189,4.2522,1.65564,
4.75136,2.67886,4.22786,1.069272,7.1745,2.57025,2.55346,2.23308,1.801316,1.6887,2.55486,2.15936,2.55087,1.280253,4.2294,1.64304,
4.72192,2.65472,4.19267,1.065546,7.1115,2.54715,2.53759,2.2176,1.796806,1.6776,2.54166,2.1408,2.53533,1.273368,4.2066,1.63044,
4.6928,2.63075,4.15771,1.061838,7.0491,2.5242,2.52218,2.20212,1.79234,1.6665,2.52846,2.1224,2.51979,1.266534,4.1838,1.61784,
4.66368,2.60678,4.12298,1.058148,6.987,2.50155,2.50677,2.18682,1.787874,1.65555,2.51548,2.10416,2.50446,1.259751,4.1613,1.60552,
4.6352,2.58315,4.08848,1.054494,6.9255,2.4789,2.49136,2.17152,1.783452,1.6446,2.5025,2.08592,2.48934,1.253002,4.1391,1.5932,
